n,tempo
1,0.000000
2,0.000000
3,0.000000
4,0.000000
5,0.000000
6,0.000000
7,0.000000
8,0.000000
9,0.000000
10,0.000000
11,0.000000
12,0.000000
13,0.000000
14,0.000000
15,0.000000
16,0.000000
17,0.000000
18,0.000000
19,0.000000
20,0.000000
21,0.000000
22,0.000000
23,0.000000
24,0.000000
25,0.000000
26,0.000000
27,0.000000
28,0.000000
29,0.000000
30,0.000000
31,0.000000
32,0.000000
33,0.000000
34,0.000000
35,0.000000
36,0.000000
37,0.000000
38,0.000000
39,0.000000
40,0.000000
41,0.000000
42,0.000000
43,0.000000
44,0.000000
45,0.000000
46,0.000000
47,0.000000
48,0.000000
49,0.000000
50,0.000000
51,0.000000
52,0.000000
53,0.000000
54,0.000000
55,0.000000
56,15.000000
57,0.000000
58,0.000000
59,0.000000
60,3.000000
61,0.000000
62,0.000000
63,0.000000
64,0.000000
65,0.000000
66,0.000000
67,0.000000
68,0.000000
69,0.000000
70,0.000000
71,0.000000
72,0.000000
73,0.000000
74,2.000000
75,2.000000
76,2.000000
77,4.000000
78,4.000000
79,0.000000
80,0.000000
81,0.000000
82,0.000000
83,0.000000
84,0.000000
85,0.000000
86,16.000000
87,0.000000
88,0.000000
89,0.000000
90,0.000000
91,0.000000
92,16.000000
93,0.000000
94,0.000000
95,0.000000
96,0.000000
97,0.000000
98,0.000000
99,0.000000
100,0.000000
101,0.000000
102,16.000000
103,0.000000
104,0.000000
105,0.000000
106,0.000000
107,0.000000
108,0.000000
109,12.000000
110,3.000000
111,0.000000
112,0.000000
113,16.000000
114,0.000000
115,11.000000
116,5.000000
117,0.000000
118,0.000000
119,15.000000
120,0.000000
121,0.000000
122,16.000000
123,10.000000
124,6.000000
125,6.000000
126,5.000000
127,3.000000
128,0.000000
129,15.000000
130,0.000000
131,16.000000
132,0.000000
133,0.000000
134,0.000000
135,15.000000
136,8.000000
137,8.000000
138,6.000000
139,10.000000
140,0.000000
141,16.000000
142,0.000000
143,16.000000
144,0.000000
145,15.000000
146,16.000000
147,0.000000
148,16.000000
149,0.000000
150,16.000000
151,16.000000
152,0.000000
153,16.000000
154,15.000000
155,0.000000
156,17.000000
157,16.000000
158,16.000000
159,0.000000
160,15.000000
161,16.000000
162,18.000000
163,0.000000
164,0.000000
165,16.000000
166,16.000000
167,16.000000
168,16.000000
169,16.000000
170,18.000000
171,14.000000
172,16.000000
173,16.000000
174,15.000000
175,16.000000
176,16.000000
177,18.000000
178,18.000000
179,12.000000
180,15.000000
181,16.000000
182,31.000000
183,19.000000
184,17.000000
185,19.000000
186,20.000000
187,16.000000
188,16.000000
189,16.000000
190,32.000000
191,16.000000
192,32.000000
193,15.000000
194,16.000000
195,32.000000
196,16.000000
197,32.000000
198,15.000000
199,16.000000
200,16.000000
201,16.000000
202,32.000000
203,16.000000
204,16.000000
205,31.000000
206,16.000000
207,32.000000
208,32.000000
209,31.000000
210,15.000000
211,38.000000
212,28.000000
213,29.000000
214,17.000000
215,31.000000
216,32.000000
217,31.000000
218,32.000000
219,32.000000
220,32.000000
221,35.000000
222,28.000000
223,31.000000
224,33.000000
225,32.000000
226,31.000000
227,48.000000
228,32.000000
229,32.000000
230,31.000000
231,48.000000
232,32.000000
233,32.000000
234,32.000000
235,31.000000
236,32.000000
237,48.000000
238,41.000000
239,42.000000
240,39.000000
241,36.000000
242,48.000000
243,32.000000
244,49.000000
245,31.000000
246,32.000000
247,47.000000
248,48.000000
249,50.000000
250,45.000000
251,48.000000
252,46.000000
253,47.000000
254,48.000000
255,47.000000
256,48.000000
257,48.000000
258,63.000000
259,48.000000
260,59.000000
261,56.000000
262,54.000000
263,55.000000
264,57.000000
265,47.000000
266,63.000000
267,48.000000
268,64.000000
269,47.000000
270,64.000000
271,63.000000
272,64.000000
273,63.000000
274,48.000000
275,48.000000
276,48.000000
277,76.000000
278,64.000000
279,65.000000
280,64.000000
281,73.000000
282,68.000000
283,64.000000
284,78.000000
285,64.000000
286,79.000000
287,80.000000
288,63.000000
289,64.000000
290,64.000000
291,79.000000
292,63.000000
293,80.000000
294,64.000000
295,70.000000
296,73.000000
297,80.000000
298,80.000000
299,80.000000
300,87.000000
301,69.000000
302,80.000000
303,79.000000
304,80.000000
305,79.000000
306,96.000000
307,80.000000
308,79.000000
309,97.000000
310,95.000000
311,95.000000
312,95.000000
313,95.000000
314,96.000000
315,95.000000
316,95.000000
317,96.000000
318,104.000000
319,83.000000
320,111.000000
321,100.000000
322,94.000000
323,96.000000
324,96.000000
325,111.000000
326,95.000000
327,96.000000
328,112.000000
329,111.000000
330,113.000000
331,109.000000
332,111.000000
333,111.000000
334,91.000000
335,96.000000
336,111.000000
337,111.000000
338,111.000000
339,111.000000
340,112.000000
341,127.000000
342,111.000000
343,112.000000
344,112.000000
345,127.000000
346,128.000000
347,111.000000
348,127.000000
349,128.000000
350,128.000000
351,127.000000
352,127.000000
353,127.000000
354,128.000000
355,127.000000
356,144.000000
357,127.000000
358,158.000000
359,127.000000
360,142.000000
361,144.000000
362,128.000000
363,144.000000
364,144.000000
365,144.000000
366,144.000000
367,160.000000
368,190.000000
369,175.000000
370,143.000000
371,159.000000
372,158.000000
373,160.000000
374,158.000000
375,158.000000
376,158.000000
377,154.000000
378,159.000000
379,191.000000
380,159.000000
381,176.000000
382,160.000000
383,175.000000
384,174.000000
385,176.000000
386,174.000000
387,192.000000
388,175.000000
389,174.000000
390,189.000000
391,192.000000
392,199.000000
393,192.000000
394,196.000000
395,173.000000
396,175.000000
397,207.000000
398,190.000000
399,192.000000
400,223.000000
401,191.000000
402,206.000000
403,206.000000
404,206.000000
405,191.000000
406,192.000000
407,226.000000
408,198.000000
409,208.000000
410,206.000000
411,221.000000
412,220.000000
413,220.000000
414,222.000000
415,224.000000
416,246.000000
417,222.000000
418,207.000000
419,223.000000
420,223.000000
421,238.000000
422,223.000000
423,224.000000
424,238.000000
425,254.000000
426,238.000000
427,238.000000
428,223.000000
429,239.000000
430,239.000000
431,239.000000
432,238.000000
433,239.000000
434,254.000000
435,238.000000
436,238.000000
437,255.000000
438,268.000000
439,285.000000
440,255.000000
441,269.000000
442,270.000000
443,256.000000
444,270.000000
445,285.000000
446,283.000000
447,284.000000
448,302.000000
449,270.000000
450,284.000000
451,285.000000
452,297.000000
453,283.000000
454,288.000000
455,319.000000
456,281.000000
457,287.000000
458,303.000000
459,318.000000
460,299.000000
461,303.000000
462,319.000000
463,301.000000
464,306.000000
465,297.000000
466,302.000000
467,303.000000
468,302.000000
469,318.000000
470,301.000000
471,347.000000
472,333.000000
473,334.000000
474,319.000000
475,318.000000
476,319.000000
477,336.000000
478,319.000000
479,338.000000
480,383.000000
481,350.000000
482,335.000000
483,350.000000
484,335.000000
485,383.000000
486,348.000000
487,350.000000
488,367.000000
489,365.000000
490,351.000000
491,351.000000
492,349.000000
493,366.000000
494,365.000000
495,366.000000
496,397.000000
497,379.000000
498,399.000000
499,394.000000
